Campaign,Ad group,Keyword,Match type,Final URL
Concurrents - agences infirmières Québec,Concurrents phase 1,medic-or,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,medic-or,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,médic-or,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,médic-or,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,code bleu placement santé,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,code bleu placement santé,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,placement premier soin,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,placement premier soin,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,premier soin,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,premier soin,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,24/7 expertise en soins de santé,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,24/7 expertise en soins de santé,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,harfang santé,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,harfang santé,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,alternacare,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,alternacare,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
